date,experiment,seed,params,metric_name,metric_value,seconds,peak_ram_mb
2026-06-02T01:19:21,no_memory,0,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",probe_improvement,2.0580531093364794e-07,450.03704679100065,483.9765625
2026-06-02T01:23:49,no_memory,1,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",perplexity,12.213035003058447,262.970512588,389.7109375
2026-06-02T01:23:49,no_memory,1,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",late_ppl,12.229963784526156,262.970512588,389.7109375
2026-06-02T01:23:49,no_memory,1,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",probe_improvement,-9.659558519006715e-07,262.970512588,389.7109375
2026-06-02T01:28:51,no_memory,2,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",perplexity,12.072815050079473,296.6811056790002,390.41015625
2026-06-02T01:28:51,no_memory,2,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",late_ppl,11.697430548291937,296.6811056790002,390.41015625
2026-06-02T01:28:51,no_memory,2,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 70339, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": false}",probe_improvement,0.0,296.6811056790002,390.41015625
2026-06-02T01:40:59,memory,0,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 122115, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": true}",perplexity,13.909510873311243,725.4836273869996,390.71484375
2026-06-02T01:40:59,memory,0,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 122115, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": true}",late_ppl,13.397250834545332,725.4836273869996,390.71484375
2026-06-02T01:40:59,memory,0,"{""batch_size"": 8, ""data_source"": ""WikiText-2"", ""embed_dim"": 128, ""lr"": 0.0003, ""num_layers"": 2, ""params_count"": 122115, ""seq_len"": 128, ""stage"": 2, ""state_dim"": 64, ""steps"": 2000, ""use_importance"": true, ""use_memory"": true}",probe_improvement,1.0718486271216237e-07,725.4836273869996,390.71484375
